"Time (s) Run #4","Temperature (°C) Run #4"
19.800,94.3
19.850,94.3
19.900,94.3
19.950,94.3
20.000,94.3
20.050,94.3
20.100,94.3
20.150,94.3
20.200,94.3
20.250,94.3
20.300,94.3
20.350,94.3
20.400,94.3
20.450,94.3
20.500,94.3
20.550,94.2
20.600,94.2
20.650,94.2
20.700,94.2
20.750,94.2
20.800,94.2
20.850,94.2
20.900,94.2
20.950,94.2
21.000,94.2
21.050,94.2
21.100,94.2
21.150,94.2
21.200,94.2
21.250,94.2
21.300,94.2
21.350,94.2
21.400,94.2
21.450,94.1
21.500,94.1
21.550,94.1
21.600,94.1
21.650,94.1
21.700,94.1
21.750,94.1
21.800,94.1
21.850,94.1
21.900,94.1
21.950,94.1
22.000,94.1
22.050,94.1
22.100,94.1
22.150,94.1
22.200,94.1
22.250,94.1
22.300,94.1
22.350,94.1
22.400,94.1
22.450,94.0
22.500,94.0
22.550,94.0
22.600,94.0
22.650,94.0
22.700,94.0
22.750,94.0
22.800,94.0
22.850,94.0
22.900,94.0
22.950,94.0
23.000,94.0
23.050,94.0
23.100,94.0
23.150,94.0
23.200,94.0
23.250,94.0
23.300,94.0
23.350,94.0
23.400,94.0
23.450,94.0
23.500,94.0
23.550,94.0
23.600,94.0
23.650,94.0
23.700,94.0
23.750,94.0
23.800,94.0
23.850,94.0
23.900,94.0
23.950,94.0
24.000,94.0
24.050,94.0
24.100,94.0
24.150,94.0
24.200,94.0
24.250,94.0
24.300,94.0
24.350,93.9
24.400,93.9
24.450,93.9
24.500,93.9
24.550,93.9
24.600,93.9
24.650,93.9
24.700,93.9
24.750,93.9
24.800,93.9
24.850,93.9
24.900,93.9
24.950,93.9
25.000,93.9
25.050,93.9
25.100,93.9
25.150,93.9
25.200,93.9
25.250,93.9
25.300,93.9
25.350,93.9
25.400,93.9
25.450,93.9
25.500,93.9
25.550,93.9
25.600,93.9
25.650,93.9
25.700,93.9
25.750,93.9
25.800,93.9
25.850,93.9
25.900,93.9
25.950,93.9
26.000,93.9
26.050,93.9
26.100,93.9
26.150,93.9
26.200,93.9
26.250,93.9
26.300,93.9
26.350,93.9
26.400,93.9
26.450,93.9
26.500,93.9
26.550,93.9
26.600,93.9
26.650,93.9
26.700,93.9
26.750,93.9
26.800,93.9
26.850,93.9
26.900,93.9
26.950,93.9
27.000,93.9
27.050,93.9
27.100,93.9
27.150,93.9
27.200,93.9
27.250,93.9
27.300,93.9
27.350,93.9
27.400,93.9
27.450,93.9
27.500,93.9
27.550,93.9
27.600,94.0
27.650,94.0
27.700,94.0
27.750,94.0
27.800,94.0
27.850,94.0
27.900,94.0
27.950,94.0
28.000,94.0
28.050,94.0
28.100,94.0
28.150,94.0
28.200,94.0
28.250,94.0
28.300,94.0
28.350,94.0
28.400,94.0
28.450,94.0
28.500,94.0
28.550,94.0
28.600,94.0
28.650,94.0
28.700,94.0
28.750,94.0
28.800,94.0
28.850,94.0
28.900,94.0
28.950,94.0
29.000,94.0
29.050,94.0
29.100,94.0
29.150,94.0
29.200,94.0
29.250,94.0
29.300,94.0
29.350,94.0
29.400,93.9
29.450,93.9
29.500,94.0
29.550,94.0
29.600,94.0
29.650,94.0
29.700,94.0
29.750,94.0
29.800,94.0
29.850,94.0
29.900,94.0
29.950,94.0
30.000,94.0
30.050,94.0
30.100,94.0
30.150,94.0
30.200,94.0
30.250,94.0
30.300,93.9
30.350,93.9
30.400,93.9
30.450,93.9
30.500,93.9
30.550,93.9
30.600,93.9
30.650,93.9
30.700,93.9
30.750,93.9
30.800,93.9
30.850,93.9
30.900,93.9
30.950,93.9
31.000,93.8
31.050,93.8
31.100,93.8
31.150,93.8
31.200,93.8
31.250,93.8
31.300,93.8
31.350,93.8
31.400,93.8
31.450,93.8
31.500,93.8
31.550,93.8
31.600,93.8
31.650,93.8
31.700,93.8
31.750,93.8
31.800,93.8
31.850,93.8
31.900,93.7
31.950,93.8
32.000,93.8
32.050,93.7
32.100,93.7
32.150,93.8
32.200,93.7
32.250,93.7
32.300,93.7
32.350,93.7
32.400,93.7
32.450,93.7
32.500,93.7
32.550,93.7
32.600,93.7
32.650,93.7
32.700,93.7
32.750,93.7
32.800,93.7
32.850,93.7
32.900,93.7
32.950,93.7
33.000,93.7
33.050,93.7
33.100,93.7
33.150,93.7
33.200,93.7
33.250,93.7
33.300,93.7
33.350,93.7
33.400,93.7
33.450,93.8
33.500,93.8
33.550,93.8
33.600,93.8
33.650,93.8
33.700,93.8
33.750,93.8
33.800,93.8
33.850,93.8
33.900,93.8
33.950,93.8
34.000,93.8
34.050,93.8
34.100,93.8
34.150,93.8
34.200,93.8
34.250,93.8
34.300,93.8
34.350,93.8
34.400,93.8
34.450,93.8
34.500,93.8
34.550,93.8
34.600,93.9
34.650,93.9
34.700,93.9
34.750,93.9
34.800,93.9
34.850,93.9
34.900,93.9
34.950,93.9
35.000,93.9
35.050,93.9
35.100,93.9
35.150,93.9
35.200,93.9
35.250,93.9
35.300,93.9
35.350,93.9
35.400,93.9
35.450,94.0
35.500,94.0
35.550,94.0
35.600,94.0
35.650,94.0
35.700,94.0
35.750,94.0
35.800,94.0
35.850,94.0
35.900,94.0
35.950,94.0
36.000,94.0
36.050,94.0
36.100,94.0
36.150,94.0
36.200,94.0
36.250,94.0
36.300,94.0
36.350,94.0
36.400,94.0
36.450,94.0
36.500,94.0
36.550,94.0
36.600,94.0
36.650,94.0
36.700,94.0
36.750,94.0
36.800,94.0
36.850,94.1
36.900,94.1
36.950,94.1
37.000,94.1
37.050,94.1
37.100,94.1
37.150,94.1
37.200,94.1
37.250,94.1
37.300,94.1
37.350,94.1
37.400,94.1
37.450,94.1
37.500,94.1
37.550,94.1
37.600,94.1
37.650,94.1
37.700,94.1
37.750,94.1
37.800,94.1
37.850,94.1
37.900,94.1
37.950,94.1
38.000,94.1
38.050,94.1
38.100,94.1
38.150,94.1
38.200,94.1
38.250,94.1
38.300,94.1
38.350,94.1
38.400,94.1
38.450,94.1
38.500,94.1
38.550,94.1
38.600,94.1
38.650,94.1
38.700,94.1
38.750,94.1
38.800,94.1
38.850,94.1
38.900,94.1
38.950,94.1
39.000,94.1
39.050,94.1
39.100,94.1
39.150,94.1
39.200,94.1
39.250,94.1
39.300,94.1
39.350,94.1
39.400,94.1
39.450,94.1
39.500,94.1
39.550,94.1
39.600,94.1
39.650,94.1
39.700,94.1
39.750,94.1
39.800,94.1
39.850,94.1
39.900,94.1
39.950,94.1
40.000,94.1
40.050,94.1
40.100,94.1
40.150,94.1
40.200,94.1
40.250,94.1
